,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
334,2012,Chevrolet,26990.0,30898,silver,good,other,other,pickup
335,2021,Hyundai,25990.0,1344,black,good,other,other,hatchback
336,2015,Acura,21990.0,32741,brown,good,gas,automatic,sedan
337,2011,nissan,1200.0,169836,blue,fair,gas,automatic,sedan
338,2015,GMC,34590.0,42125,blue,good,other,automatic,pickup
339,2016,Ford,18990.0,52897,white,good,other,automatic,wagon
340,2020,Volkswagen,31590.0,11340,white,good,gas,other,sedan
341,2020,Ford,35990.0,10093,white,good,gas,other,pickup
342,2011,Volvo,15990.0,88274,black,good,other,other,sedan
343,2015,gmc,11000.0,130000,white,good,gas,automatic,truck
344,2005,nissan,6000.0,160504,white,good,gas,automatic,pickup
345,2020,Toyota,30590.0,11221,white,good,gas,automatic,sedan
346,2014,MAZDA,19590.0,58600,red,good,gas,automatic,sedan
347,2017,Lincoln,34990.0,20665,white,good,gas,automatic,sedan
348,1988,lincoln,3500.0,96000,silver,good,gas,automatic,sedan
349,2019,Kia,34990.0,28480,blue,good,gas,other,sedan
350,2021,Kia,23590.0,1699,white,good,other,other,sedan
351,2018,Nissan,26590.0,8387,white,good,gas,other,pickup
352,2017,Nissan,18590.0,13388,white,good,gas,automatic,sedan
353,2002,honda,3000.0,200000,grey,good,gas,automatic,mini-van
354,2011,INFINITI,20990.0,70606,white,good,other,manual,coupe
355,2017,Honda,31990.0,7405,red,good,other,automatic,sedan
356,2011,Honda,21990.0,61534,silver,good,other,other,van
357,2014,2014,6500.0,154000,silver,good,gas,automatic,SUV
358,2015,Chevrolet,18590.0,34880,black,good,other,automatic,sedan
359,2018,Volkswagen,21990.0,25637,blue,good,gas,other,sedan
360,2018,Nissan,27990.0,25388,white,good,gas,other,pickup
361,2019,Volkswagen,28990.0,7299,white,good,gas,automatic,sedan
362,2015,BMW,26990.0,33292,white,good,gas,automatic,coupe
363,2015,Chrysler,19990.0,24319,blue,good,gas,other,sedan
364,2016,GMC,25990.0,38754,red,good,gas,other,pickup
365,2012,Chevrolet,38590.0,37493,red,good,other,automatic,coupe
366,2018,Chevrolet,31590.0,26250,black,good,other,other,pickup
367,2016,Ford,32990.0,27616,red,good,gas,other,pickup
368,2020,Chevrolet,35990.0,6079,silver,good,gas,other,pickup
369,2015,Chrysler,18590.0,37971,red,good,gas,other,sedan
370,2019,FIAT,22590.0,4918,black,good,gas,other,hatchback
371,2019,Toyota,27590.0,1591,silver,good,gas,other,hatchback
372,2015,Subaru,26590.0,20035,white,good,gas,automatic,wagon
373,2019,Ram,31590.0,5373,white,good,gas,other,pickup
374,2019,MINI,29590.0,8540,blue,good,gas,other,hatchback
